generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
548.0,0.0,4043.0,3415.0,383.0,775.0,2495.0,5040.0,94.0,70.0,5229.0,212.0,8356.0,5223.0,8432.0,29815.0,30125.0,48.35,30660.0,2015,5,15,61.47,26
226.0,277.0,4988.0,3043.0,208.0,1005.0,2439.0,7082.0,15.0,98.0,114.0,308.0,3378.0,127.0,3331.0,25045.0,25176.0,51.53,23181.0,2017,4,23,60.73,23
395.0,903.0,7291.0,6773.0,319.0,777.0,3206.0,6949.0,57.0,86.0,679.0,322.0,3976.0,690.0,4012.0,34412.0,34567.0,46.69,31733.0,2016,8,21,53.38,30
341.0,978.0,9111.0,6199.0,270.0,505.0,1121.0,5548.0,54.0,100.0,1097.0,303.0,6288.0,991.0,6155.0,28722.0,29349.0,70.69,31915.0,2017,3,17,23.25,12
388.0,0.0,3495.0,1178.0,203.0,1180.0,2567.0,7105.0,85.0,64.0,21.0,215.0,12983.0,0.0,13156.0,24134.0,24419.0,4.8,29484.0,2015,2,3,17.19,24
395.0,307.0,5941.0,5433.0,310.0,924.0,3659.0,6945.0,63.0,81.0,4785.0,316.0,2000.0,4583.0,2000.0,32604.0,32800.0,42.1,31159.0,2016,8,11,49.84,19
238.0,0.0,2700.0,1182.0,117.0,1688.0,2687.0,5061.0,55.0,91.0,3576.0,299.0,10215.0,3847.0,9548.0,25990.0,25858.0,12.84,27909.0,2018,4,13,30.77,29
405.0,420.0,4219.0,4001.0,362.0,882.0,1713.0,7065.0,42.0,66.0,593.0,171.0,7731.0,261.0,7734.0,24713.0,24837.0,42.9,27670.0,2015,4,0,55.67,21
326.0,0.0,4858.0,1903.0,294.0,1510.0,5308.0,5086.0,13.0,96.0,380.0,242.0,1648.0,428.0,1683.0,25417.0,25693.0,40.2,21664.0,2016,5,0,44.02,27
334.0,611.0,5552.0,7070.0,295.0,603.0,1400.0,7113.0,57.0,96.0,94.0,328.0,6914.0,8.0,6940.0,25580.0,25568.0,70.1,30467.0,2017,1,2,84.18,24
